+----+-------------------------+-------------+-----------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id | received_at             | type        | session_id      | payload                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 56 | 2026-02-27 00:36:16.613 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 0, "y": 111, "event": "scroll"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 55 | 2026-02-27 00:36:16.606 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 0, "y": 1, "event": "scroll"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| 54 | 2026-02-27 00:36:14.996 | performance | sn-0wo4f8xmu55f | {"type": "performance", "payload": {"end": 67.69999998807907, "start": 0, "timing": {"name": "https://test.kylacse135.site/products.html", "type": "navigate", "duration": 67.69999998807907, "entryType": "navigation", "startTime": 0, "confidence": {"value": "high", "randomizedTriggerRate": 0.4994798}, "connectEnd": 8.800000011920929, "fetchStart": 8.800000011920929, "domComplete": 66.80000001192093, "redirectEnd": 0, "responseEnd": 14.199999988079073, "workerStart": 0, "connectStart": 8.800000011920929, "deliveryType": "cache", "loadEventEnd": 67.69999998807907, "requestStart": 12.600000023841858, "serverTiming": [], "transferSize": 0, "initiatorType": "navigation", "redirectCount": 0, "redirectStart": 0, "responseStart": 13.600000023841858, "domInteractive": 61.69999998807907, "loadEventStart": 66.80000001192093, "responseStatus": 200, "unloadEventEnd": 21.30000001192093, "activationStart": 0, "contentEncoding": "gzip", "decodedBodySize": 15072, "domainLookupEnd": 8.800000011920929, "encodedBodySize": 4745, "nextHopProtocol": "http/1.1", "unloadEventStart": 21.30000001192093, "criticalCHRestart": 0, "domainLookupStart": 8.800000011920929, "notRestoredReasons": null, "renderBlockingStatus": "non-blocking", "secureConnectionStart": 8.800000011920929, "workerFinalSourceType": "", "workerCacheLookupStart": 0, "workerMatchedSourceType": "", "domContentLoadedEventEnd": 63.5, "finalResponseHeadersStart": 0, "firstInterimResponseStart": 13.600000023841858, "domContentLoadedEventStart": 61.69999998807907, "workerRouterEvaluationStart": 0}, "total_load_ms": 67.69999998807907}, "session_id": "sn-0wo4f8xmu55f"} |
| 53 | 2026-02-27 00:36:14.801 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"url": "https://test.kylacse135.site/products.html", "event": "page_enter"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 52 | 2026-02-27 00:36:14.797 | static      | sn-0wo4f8xmu55f | {"type": "static", "payload": {"page": "/products.html", "screen": "1440x900", "window": "651x719", "cookies": true, "language": "en-US", "jsEnabled": true, "userAgent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36", "connection": "4g", "cssEnabled": true, "imagesEnabled": true}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| 51 | 2026-02-27 00:36:14.750 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"ts": 1772152574697, "event": "page_exit"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 50 | 2026-02-27 00:36:14.729 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 415, "y": 39, "event": "click", "button": 0}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 49 | 2026-02-27 00:36:14.518 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 521, "y": 39, "event": "mousemove"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 48 | 2026-02-27 00:36:12.536 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 537, "y": 44, "event": "mousemove"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 47 | 2026-02-27 00:36:12.380 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 521, "y": 39, "event": "click", "button": 0}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
